review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"I am a two wheeler lover.
The ather 450is fulfills my needs by being
1 maintenance free.
2. Excellent pickup.
3. Experience a good regeneration during coasting.
4. Good braking distance to achieve short control.
5 stability on road.
6 comfortable seating arrangement.
7 good dealer support
8 timeline delivery.
9. Wonderful on line support form technical team.
10. Last ather is price to invest.",Daily Commute,3-6 months,< 5000 kms,5,4,5,5,5,,5,,,Ather 450X
"A tad bit overpriced but its the best EV currently in the market don't fall for the trap of ola and simple one, just test drive either way before buying.
Ather is a proven commodity for past two years whereas ola and simple don't have it yet.
Ather servicing and customer service is very good even in the extreme circumstances they were of help to me.",Daily Commute,6 months-1 yr,5000-10000 kms,5,5,5,5,5,,5,,,Ather 450X
"I love this scooter, is it most powerful smart scooter than any other scooter.
Suspension is very smooth.
Superior Ride.
Unbelievable torque
I reached a top speed of 93 km/h
The sound is like a boing 737 JET.
I like this smart display with 4G connectivity...
GPS system
Accuracy of range in kilometers
On display as well as mobile phone.",Daily Commute,3-6 months,< 5000 kms,5,5,5,5,5,,5,,,Ather 450X
"Those who are giving Ather 450X bad rating are only rating in terms of pricing though it is somewhat costly but Ather is way to good then any other vehicle out there in market. It's speed and pick-up is awesome and as per my daily use it gives minimum 85 km of mileage per charge. So, people who are reviewing it bad must see it from every angle.",Everything,6 months-1 yr,< 5000 kms,5,5,5,5,5,,5,,,Ather 450X
"Buying Experience:
Buying experience is pathetic, i have pre-booked vehicle by seeing an ad with false information. Waited 11 months to receive vehicle.
No proper information given at purchase time also. No proper invoice it self.
Govt discount will go to company account.
Just a very normal electric scooter given for an amount of 1.89 lacs money
All the other features need subscription and subscription amount changed multiple times before even start
Riding Experience:
One good thing is pickup, but shock absobers are pathetic. Need flat road to have peaceful riding.
Public Charging points not available properly, and those available does not work, and it need solid 6 hours to get charged
Company claims 15km for 10 mins charging but it never works with fast charging also (tested from ather Experience center it self)
Ather mobile app is just a waste it wont show basic information also with out subscription.
Maps and dashboard get stuck in the middle and make u get confused with no information on how many km left on drive
Keeping idle will reduce charging, 15% went to zero in 2 days.
No portable charger, we need to pay 10K more to get portable charger even after buying scooter with premium amount of 1.89 lacs
Over all no satisfaction from 1.89 lacs scooter, it will be just a show piece after few months.",Daily Commute,> 1 yr,< 5000 kms,1,3,2,3,1,1,,2,,Ather 450X
"Very nice scooter really super fast scooter. I am enjoy driving, very good features thank you Ather, I am driving 75 days no complaints, no problem with this vehicle.",Daily Commute,3-6 months,< 5000 kms,5,5,5,5,3,,5,,,Ather 450X
"its a best bike for city but price is too much. The bike's real cost is around 90k to 100k but its overpriced and the company has many plans. Its cost shows like 2.4k for a year and including service plan but they have raised the price too much, Overall best bike but new Ola bike is arriving soon. Ola may be a best option than Ather 450x.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,4,5,2,,3,,,Ather 450X
"Ride experience is too good. It has wonderful braking confidence in moped category of this segment and the best suspension as well.
Color options & design of this model is very much attractive.
It would be good if Ather can focus to maximize the charge points through out Hyderabad as their volumes of business grow much faster.",Leisure Rides,Never owned,,5,4,5,4,5,,5,,,Ather 450X
"Don't know why people are rating this bike low. I am a using this from April 2021, my daily run is 60-62 km, everyday I take my Ather to home and office, there is no single point where I can say I paid too much for this. Honestly I am satisfied and I am feeling more younger when I sit on it and ride it. This Ather team has made a marvel.",Everything,< 3 months,< 5000 kms,4,5,5,4,5,,5,,,Ather 450X
"Hassle free buying experience with skilled technicians...Replaced my rx 135 with ather450x, liked performance same as rx with 450x. Service persons are too fantastic and best in this price range....Not tired of continues riding at 40 km/h and 85 km/h upto 50km ride.... Comfort and speed is the best part of Ather 450x.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,4,5,5,,5,,,Ather 450X
"Pricing is too much as you need to pay more. No proper assistance.
Don't buy Ather go for TVS or Bajaj.
Insurance costs you 5000 rupees.
Check other electric vehicles as their pricing is less than Ather.
TVS iQube is good at its price or check Bajaj Chetak.
Wait for more EV's to come in years. The future is electric only.",Daily Commute,3-6 months,< 5000 kms,1,1,1,1,1,,1,,,Ather 450X
"Pros:-
Comfortable in riding. No back pain and good experience while taking delivery. May be more than a 150 cc bike. Brakes are good does the work
Seats is like a jelly seat it is also good.
Cons:-
Subscriptions for facilities I hated it. Range is not getting as described.
Price is very high not easy for a middle class.",Daily Commute,< 3 months,< 5000 kms,1,2,2,4,3,,4,,,Ather 450X
"Previous model was around 1.2 lakh now 1.8 lakh, even we can ride petrol bike buy pay 200 per liter more .Also don't get trap for those they say about cost saving for that millage and speed we can buy good bike or scooter for less than a lakh still get a better mileage and cost effective. And monthly subscription for other features.",Daily Commute,3-6 months,< 5000 kms,1,1,1,1,1,,1,,,Ather 450X
"Buying Experience: not a happy experience for anyone due to a long waiting period and because of the pricing tag. 1.89 lakh's in Bangalore is the actual price. Only one branch in Bangalore and people need to go there for any small issues.
Riding Experience: pickup is the only good thing. Height is a little more and will.be tough for those with less than 5.5 feet height. Shock absorbers are worst and riding experience not good on uneven roads
Connected features need a subscription. Otherwise even an app or charging station charging does not work
Just around 70 to 75 km actual distance with one charge which needs 5 hours to charge again.
Looks: ok ok, different look but not so comfortable. Very few options in colors also.
Servicing: only one service center in all over Bangalore, company say they will pick and drop but that need a subscription.
Pros:
Pickup
Make in India
Cons:
Price, 1.89 lakh's actual on-road price (government gives 29k discount)
Government discount will go to company pocket.
5 hours charging needed for 75 km travel.
Only one branch in Bangalore for all service and issues.
After-sales response is not very good.
The charger is external and needs to be fixed to the wall.
Long travel not feasible as the bike does not have an internal charger.
An external charger is heavy and costs 15k extra.
Proper planning of ride needed, one wrong route will screw-up our travel.
Very few charging points and many do not work.
The battery will discharge while biking not in use.
Worst shock absorbers.
Extra height.
Subscription for servicing.
Subscription use maps and connected features.",Daily Commute,3-6 months,< 5000 kms,1,2,1,3,1,,1,,,Ather 450X
"Cost is very high otherwise is good and no removable battery, need to improve the range of bike cost is very high otherwise is good and no removable battery, need to improve the range of bike.",Daily Commute,Never owned,,1,4,5,4,3,,4,,,Ather 450X
"The heaviest part of the bike i.E. The battery is above the wheel hub (bearing) line thus making the centre of gravity higher. I have noticed that you cant tilt much when cornering or the vehicle will definitely lose balance. Will be tough to ride this on wet streets in monsoons. This is a major safety issue. Also, the battery doesn't look like it will last long.",Occasional Commute,< 3 months,< 5000 kms,2,4,3,3,3,,2,,,Ather 450X
"It's a beast for the price you pay. You can compare its performance to a Duke 250 on full throttle but ignoring the top speed. It goes up-to 80kmph in the city which is enough and what I liked is the build quality. Things you must keep in mind b4 buying the bike:
1. You need to charge it regularly and manage it well. If you can't manage the vehicle by charging it regularly or forget often to charge, don't buy this vehicle.
2. You need to understand how the ecosystem works. The hefty price is not only for the vehicle. You get other services as well. Although for 1.6L I definitely feel it's worth it. You don't have to pay for petrol. That's a huge W.
3. Make sure you know the nearest charging station so that it's convenient for you to charge your vehicle fast.
Don't worry they provide you with a charger at home as well.
4. You need to be gentle with the brakes. The bite is too good and you need to get used it.",Daily Commute,6 months-1 yr,< 5000 kms,5,5,5,5,4,5,,5,,Ather 450X
"My daughters wanted me to buy only electric scooter - for the environment they said. So i booked in august and collected by bike yesterday! riding the bike is an awesome experience... Smooth and effortless ride.. Only issue is the slightly shady billing and invoicing process - even though i paid 1,68,989/- invoice says 1,39,989! ather is issuing two separate invoices - one for less amount (1,39,000) where they claim fame ii incentive and one more additional invoice of balance amount where they are simply charging claiming some upgrade...Thus effectively the individual don't get the fame incentive! so according to this ather 450x will be around 1,90,000!",Daily Commute,< 3 months,< 5000 kms,5,4,,,,,4,,4,Ather 450X
"Riding is excellent, quality up to mark, key is still the best way to operate a two wheeler, acceleration is epic.
Ather needs to improve the rear view mirror and increase no of charging stations. Introduce cruise control through software update. Still a good option in 2022 i wish the price can be reduced by better subsidy rules.",Daily Commute,< 3 months,< 5000 kms,5,4,4,4,3,,4,,,Ather 450X
"Basically bike is superb no doubt at all. The major issue of people is price TVS IQUBE VS ATHER.
ATHER Price includes the charger price but for TVs iqube we have to spend another 8500 rs..no touch screen and I personally visited the showroom the way they take of the customers too worst and Ather they will give u the best customer experience. The software is Ather far better than iqube and the vehicle is far far ahead of iqube.",Daily Commute,> 1 yr,< 5000 kms,5,5,5,5,,,5,,,Ather 450X
"This is my honest review after riding for 7500 km and 9 months.
I bought this bike in Aug 2021. The buying experience was not that great, but all that faded out in the excellent performance and quality of this bike. The riding experience was amazing. What I found was Ather has tested this bike in most Indian conditions and it is well suited for Indian roads. Looks are undoubtedly sporty, performance is superb has mentioned in numbers in the website.
I had done one service after 5000 km, it cost me some 1200 rs. No maintenance charges except service.
Pros.
1. Excellent Performance
2. Looks
3. No maintenance except servicing
4. Service cost is low
5. Riding experience
6. Useful OTA updates
Cons.
1. Price is comparatively high
2. Buying experience is not impressive
3. Range is 90 km. Which would have been 150km for the daily commute.",Daily Commute,6 months-1 yr,5000-10000 kms,5,5,5,5,5,,4,,,Ather 450X
"Worst bike and the service, it was the biggest mistake of buying this bike, since a year now the battery had a problem and no replacement, the battery is costing half of the new bike so it's totally waste. There is no service station in goa, they have to come from kolhapur and we have to pay separately for all the traveling expenses.",Occasional Commute,> 1 yr,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
I purchased this Hero branded before 6 years. There is problem with battery from the beginning. But dealer not serviced and in 7 months totally bike was stopped. Also dealer told purchase new battery. He is not replace or service battery and after some days dealership also closed. So be careful. It's my experience.,Daily Commute,> 1 yr,5000-10000 kms,1,1,1,,1,,2,,1,Hero Electric Optima
"Horrible bike. After driving it for a year, I know in and out of this bike and its support. And my opinion is don't ever buy this junk bike. Reasons. 1. Company claims wrong figures about its mileage of 55 km/battery. My bike never gave me more then 45 km/battery. Company is fooling its customer through false claims. 2. Poor material of critical components like motor and battery. I already touched upon initial battery response. After a year, bike is giving less then 30 km on a full charge. The motor of bike has got damaged within a year. Both are covered under 3-year warranty, but support too is horrible. 3. Customer support is horrible. Even after 15 days of issue identification, company hasn't still replaced motor and battery that ere covered under a 3 year warranty. I reached out to their engineer many times a day, but no response from him. He neither picks up the calls, nor responds on what's-app. All the good will of hero motor corp is getting damaged because of this company (hero electric) and its employees. Now, if you have spare money to waste, then still there are better options that this junk piece of bike. Give it to some beggar rather than cribbing after investing in this junk bike. My final verdict. Never even think in your dreams of investing money in this bike.",Daily Commute,6 months-1 yr,10000-15000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
"Bought in Nov 2020, within 1 week suspension started making noise, dealer keep saying that there are so spares and it's been 4 months nothing got fixed. Using the same way even it makes noise. Quality of the bike is low. The only advantage is that we could avoid petrol pollution. Please buy the vehicle if dealer is giving all at once.",Daily Commute,3-6 months,< 5000 kms,3,4,2,,1,,4,,3,Hero Electric Optima
"Everyone should own this type of e vehicles to step against global warming. Optima hx is very good handling scooter with single li ion battery. I request to everybody. Please go for e-vehicles to save our environment & planet. Optima hx provides anti theft alarm too, which I like most.",Daily Commute,< 3 months,< 5000 kms,5,5,4,,4,,5,,4,Hero Electric Optima
"I bought new optima hx on December 20. 3 month usage reviews.
Buying good, riding good with solo. Looks excellent. 1.They shows 80km city mileage. No actually you can get 40 to 50 km per charge only. 2. Capacity 2 member and 150 kg. ride solo get better mileage that to 50 km per charge. With two you end up with 40km only. Pick up is poor with 2 person.
3. Charging time min take 5.5 hrs. Instead of claim 4 hrs. I use stabilizer for charging.
4. Four times charging get stuck. I have to cut of mcb and turn on.
5. The claims vehicle run 10km with 47v . Absolute not. When it reaches 47v within a km or 2 km vehicle stops. . Battery indicator show different level. Please note every one . It doesn't run more than 50km.Better charge every 40km.",Daily Commute,< 3 months,< 5000 kms,3,4,3,,3,,3,,4,Hero Electric Optima
"Actually that was my friends bike. But I used it for some occasions, I will precisely say this is best and ever for smoothie rides and a perfect fit for the middle class peoples. it's is the beauty of perfect ride and even eco friendly too.",Everything,Never owned,,5,5,5,,5,,5,,5,Hero Electric Optima
"Poor quality material is used, Within 2 months seat joint is broken. Small kid's toy's material is better than the material used in the bike. There is no shock up while using break. too much bad quality. There is no indication of battery level. Not to buy this bike in your dream also.",Daily Commute,3-6 months,> 15000 kms,1,1,2,,1,,2,,2,Hero Electric Optima
Good vehicle but the range is a bit less as compared to expectations. Quality is lesser as compared to petrol counterparts however very very economical and good for short city rides not good for highway rides or long rides. For longer range pay additional and buy 2 battery version or better battery version,Daily Commute,6 months-1 yr,5000-10000 kms,3,5,3,,3,,4,,4,Hero Electric Optima
"Horrible bike. After driving it for a year, i know in and out of this bike and its support. And my opinion is don't ever buy this junk bike. Reasons 1. Company claims wrong figures about its mileage of 55 km/battery. My bike never gave me more then 45 km/battery. Company is fooling its customer through false claims. 2. Poor material of critical components like motor and battery. I already touched upon initial battery response. After a year, bike is giving less then 30 km on a full charge. The motor of bike has got damaged within a year. Both are covered under 3-year warranty, but support too is horrible. 3. Customer support is horrible. Even after 15 days of issue identification, company hasn't still replaced motor and battery that ere covered under a 3 year warranty. I reached out to their engineer many times a day, but no response from him. He neither picks up the calls, nor responds on whats-app. All the goodwill of hero motor corp is getting damaged because of this company (hero electric) and its employees. Now, if you have spare money to waste, then still there are better options that this junk piece of bike. Give it to some beggar rather than cribbing after investing in this junk bike. My final verdict.... Never even think in your dreams of investing money in this bike.",Daily Commute,> 1 yr,< 5000 kms,1,3,1,,4,,3,,1,Hero Electric Optima
"Best riding on road, best experience nice look, money saving best mileage best for school and collage and children not this youngster, nice warranty in a scooter, nice speed, nice service and maintenance .",Daily Commute,> 1 yr,< 5000 kms,5,5,5,,4,,4,,4,Hero Electric Optima
Very bad experience from dealer . I bought photon model in 2017. Dealer do very bad servicing of vehicle . Any one or more part found broken in every servicing . So with in 2 years my vehicle is very noisy . Battery quality is not good . It's life cycle is about 1.5 or 2 years. Battery cost is about rs. 18000 . Spending of rs 18000 in every 2 tears is too expensive. i like battery bike but do not want to go with hero electric and dealer also.,Daily Commute,> 1 yr,10000-15000 kms,1,3,1,,1,,3,,2,Hero Electric Optima
"1. Good2.Load capacity below 100 kg 3.Good looks but using low quality plastic body4 no spare parts available in service center immediately. Book and waiting method. Vehicle returned more than one week's after serving5.Loding capacity less than 100kg, using low quality plastic. Company assured mileage 60 km, but actual 32km on full charge.",Tours,3-6 months,< 5000 kms,1,3,1,,1,,2,,2,Hero Electric Optima
Hero optima is best electric scooter This is the best of one in other brand. You purchase this scooter and enjoy you wonderful ride. My advice for nature lover use this hero electric scooter self and your family persons. Hero electric bike is more comfortable for a our environment and no required petrol consumption. I love it.,Everything,6 months-1 yr,5000-10000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
Bought it amidst lockdown. Congratulations to hero electric for venturing into the field of riding with zero emission. Really appreciate such moves. Riding experience is good. Better suited for single riding rather than double carrying.. The battery of vrla model doesn't charge fully below 12 hours. Moreover the capacity of the motor to perform at battery levels below 30% is really poor. So after a maximum of 40kms one needs to recharge it for full performance. Probably the lithium version works better.,Daily Commute,< 3 months,< 5000 kms,4,5,3,,3,,4,,4,Hero Electric Optima
I bought from optima from st. Thomas agency thrissur on june 2018.After 1 month the shop is shut down.This is the waste experience after only 20 month the controller is damaged and no spare part available. No resale value. Not reliable scooter. Poor and performance is not good.This is waste product and services.,Daily Commute,> 1 yr,< 5000 kms,1,2,,,2,,,,2,Hero Electric Optima
"I purchased hero electric optima and was thrilled at owning an environment friendly zero emission electric vehicle. Unfortunately that was the only thing i could be thrilled about. In exactly 16 months, the battery died. The mechanic visited my premises and give the sad news, like we hear doctors announcing the death of their patient. But here, i was the victim. The cost of replacement was 45% of the original cost of the bike !!! not joking...Serious. Now i'm in a dilemma, should i replace this every 16 months, which is equal to buying a new bike every 2 years !!...Or simply but a decent, ""good old"", fossil fueled scooter. Outrageous....Keep away from this product, till they promise better batteries that last longer or cost reasonable.",Occasional Commute,> 1 yr,< 5000 kms,1,3,1,,1,,3,,1,Hero Electric Optima
"This is a really bad bike, it has been 15 days since i bought it and it has got problem in the battery. The bike has got really bad feature, low speed, bad body and slips easily.Moreover the dealer like tusha motors etc is a fake dealer that sells these products they gives a high price range and says the vehicle is superb and sells it in name of hero.",Daily Commute,6 months-1 yr,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
"It's amazing and very comfortable for riding ,colour is beautiful and very good performance .It's charge goes very long lasting ;its not too cost to buy it and looks very great in its pleasant colour It can buy by all types of people .So its outstanding .Little maintenance can cares it long lasting.",Daily Commute,Never owned,,4,4,4,,5,,5,,5,Hero Electric Optima
My experience is very low this scooty. I am so sad after buying this. Parts are so much costly and and very much light parts are used in their vehicle. Its parts break easily. Don't buy it. Charger quality is very low. Cheated us with very bad products used in a branded vehicle.,Daily Commute,3-6 months,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
"Worst experience from agna hero electric jp nagar bangalore. No proper response from dealers on bike arrival, they said we receive the bike by 2 weeks but they gave the bike after 5weeks.
Ride quality is average.
Body panels quality is worst.
Headlights have loose connections.
Motor performance is good. But facing improper power supply issues due to loose connections.
Servicing is bad at this location.
Experienced front brake drum broken into pieces and got completely jammed in the middle of the road.
Safety-wise zero-rating.",Daily Commute,6 months-1 yr,< 5000 kms,1,2,1,,1,,2,,2,Hero Electric Optima
"1,2,4 service center not cover warranty any minor problems. I will face many problems this optimal hs500. Very slow scooter. My headlights problems. But service center not response. Worthless scooter. Spare parts also very expensive very slow scooter. My headlights problems. But service center not response. Worthless scooter. Spare parts also very expensive.",Daily Commute,3-6 months,< 5000 kms,2,3,2,,1,,3,,3,Hero Electric Optima
Service is very poor. 2 months back my battery got damaged till now they didn't respond or repair .Waste service. .,Daily Commute,> 1 yr,< 5000 kms,1,2,1,,1,,1,,2,Hero Electric Optima
Very good looking bike and need it in my daily local use. Value for money. Comfortable great mileage. Best of the best look wise and mileage wise. Economical and trusted brand. I like it because I have to go to my duty and always problem with petrol filling. So many times I faced lot of problems with petrol filling. So to minimize cost and petrol saving i need hero eclectic optima lx(hspl) model.,Daily Commute,Never owned,,5,5,5,,5,,5,,5,Hero Electric Optima
"First of all its not hero motocrop, its completely different company.. No match to other ev riding and build quality. Bike in not stable, handling and suspension are horrible. Fail to climb on steep roads. Motor is not producing enough power.
Low quality of plastic, range is very low, and worst customer service , don't go for it.",Everything,> 1 yr,5000-10000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
"It is a good scooter
1.Buying experience: it costed me Rs. 65000
2.Riding experience: I have good riding experience. Smooth and hassle free.
3.Details about looks, performance etc: good looks and satisfying performance. Low build quality.
4.Servicing and maintenance: doesn't require service like fuel vehicle.
5.Pros and cons:
Pros:- light in weight. Easy to handle. No service required. Environment friendly. No noise population. Large boot space.
Cons:- due to light in weight when trucks or buses quickly pass away nearby the scooter flicks a little.
Cannot place the scooter everywhere at hilly areas the scooter found to roll backwards.
Their is a chance of decrease of range because of the rider weight, height of climb, loading weight. Etc..
When it is kept in rain the scooter runs but the meters get stuck for 1 hour and becomes normal. So keep it away water but the scooter is water resistant and water proof.",Daily Commute,6 months-1 yr,< 5000 kms,3,5,4,,5,,5,,4,Hero Electric Optima
I have purchased hero electric optima lx from Bhavya traders Sitamarhi Bihar. But I think they have given me old charger. When I told about this. they gave me duplicate charger of another company. If possible it's my request to company pls resolve my problem. This charger now is taking 4 to 6 hours for charging.,Leisure Rides,> 1 yr,5000-10000 kms,1,1,1,,1,,1,,2,Hero Electric Optima
"Note the best,
Range is bad, they claimed 120km but has 80km range.
Speed is normal 46 km max
Shockers is bad,
Brakes are worst,
Battery indicator is not accurate, same with charger indicator,
Body material is also not good.",Daily Commute,< 3 months,< 5000 kms,1,1,1,,1,,1,,3,Hero Electric Optima
"Switching electric is wise decision, as environment issues are the top most concern in today's time. Top ev manufactures working impatiently to convert traditional mobility into e-mobility. Hero electric, tvs motors, Bajaj auto, amo electric bikes, ola, Ather are the notable automakers disrupting indian ev market with great products.",Everything,Never owned,,4,,,,,,,,,Hero Electric Optima
,Daily Commute,< 3 months,< 5000 kms,4,4,4,,4,,4,,4,Hero Electric Optima
"Worst service experience, no response, kind of monopoly once you purchase the product. Waiting time for parts. Poor response time. Monopoly of attending the complaints. Only one official assigned no seniors to him for immediate assistance. Worst post purchase experience.",Daily Commute,> 1 yr,< 5000 kms,1,4,2,,1,,3,,3,Hero Electric Optima
"I bought this on 6th july 2021 and its just a waste of money in 2 months first its charger point got melt after that its brake wire got broken and after that its handle got broken from inside in just 2 months I spent rs1000 on it. In service center they didn't do anything in service just clean it and tighten the brake that its. I told them the problem of handle at the time of service but they didn't do anything. I totally disagreed with this optima lithium. I suggest you all that don't buy it, its totally waste of your money.",Daily Commute,< 3 months,< 5000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
I purchased avon bike hero optima. The dealer's service is bad. No response to any enquiries. Very poor.,Tours,Never owned,,1,1,1,,1,,1,,3,Hero Electric Optima
Buy electric power and go beyond the petrol pump. I feel good by an electric bike because it is good for the earth and the environment of our world. This is the most powerful gadget to our earth this is the best gadget gift our planet. It is easy to buy electric bike and the experience is very good no tension to charge the bike.,Daily Commute,6 months-1 yr,5000-10000 kms,5,5,5,,3,,5,,4,Hero Electric Optima
"The bike of hero optima is very good & smooth. It is easy to carry and easy to handle to every one. It is save fuel and saves our environment and also save our greenery. It's look are so pretty & stylish. I want that every one should buy an e-bike then our environment will be totally pollution free, so i suggest every one to try this bike.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,5,,5,,4,Hero Electric Optima
"1. Don't have comfortable foot rest for pillion ( if women as pillion sits along one side)
2. Don't shows proper battery percentage ( leans on the stand on the road )
3. It's like bullock cart. Yes we need to brake before 20 meters to stop this vehicle presently
4. No need of driving licence and vehicle registration
5. Good for senior citizens",Daily Commute,3-6 months,5000-10000 kms,2,5,4,,4,,3,,3,Hero Electric Optima
"Battery inflated in six months of purchase same happened 2-3 new batteries. Company should do something that the battery sustains atleast 1-2 year or 10000 km or may be 500 charging cycles.
The body strength is not worth spending 36000 what I paid as it is very delicate plastic body. Company do not receive phone call or also don't reply mail even. Overall hero could be mismanaged organization.",Daily Commute,> 1 yr,10000-15000 kms,2,4,1,,2,,3,,3,Hero Electric Optima
It’s a good scooter for internal use. It goes upto 42 kms with 2 people onboard. It can cover more than 60 kms on good roads. In city and on rural roads it covers more than 50 kms. Overall a good scooter with zero maintenance. Very light weight so kids can also drive. Would recommend potential buyers to go for it.,Leisure Rides,6 months-1 yr,< 5000 kms,5,5,5,,5,,4,,4,Hero Electric Optima
"I owned the hero optima plus before 3 months and the experience was very slow.The thing of riding was it was quite comfortable. The look was superb as it was looking like a future fantastic scooter.Servicing was not much important as i not got a chance to take priority. At-last i experienced a slow but steady, comfortable and a better choice than others.",Daily Commute,< 3 months,5000-10000 kms,4,5,5,,4,,4,,4,Hero Electric Optima
Its a amazing mopey bike and good quality hero is like super bike developer . Good mileage Good quality Best performance like a good performance. Servicing and maintenance are very easy to the handle and love for the look of the hero electric optima plus it's my dream electrical scout love you hero breaks Indian best brand,Everything,> 1 yr,5000-10000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
Good electronic bike for local office use and special for my wife and children because my son and daughter go when tuition and school than many problems for travelling but than i think bought a bike my child told me this hero electronic bike and i bought a bike and my child and i also very happy so thanks hero electric bike.,Daily Commute,3-6 months,< 5000 kms,5,5,5,,5,,5,,4,Hero Electric Optima
"It's very nice, i got a new bike because, i love it to ride every day.This is my dream for get a new bike. I like a electric flash scooty, it's a good for college student because of sometimes,no money for petrol that's only it's helpful for everything. And it's stylish and stiffen type of scooty. It's wonder really i love it.",Daily Commute,> 1 yr,> 15000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
This hero optimus give good performance and it also save my fuel and i daily use it for 3-4 hours and charged at night it's backup is very excellent and it's battery is also of very good quality and i don't get any issue about it and i maintain service interval of 3-4 months it work very smoothly and it's designed is also very attractive special blue colour.,Everything,3-6 months,5000-10000 kms,4,5,5,,5,,5,,4,Hero Electric Optima
"It has to charge frequently,on charging it for 10 to 12 hours it give 8 to 10 kilometre, no after purchase sale, review after 5 days use ,worst electric scooter i have purchased , i gave assurance that it give 50km after 8 hour charge ,it doesn't meet my expectations , tell the truth that average is not given.",Occasional Commute,< 3 months,< 5000 kms,1,4,1,,1,,3,,1,Hero Electric Optima
"Absolutely!Apart from being eco-friendly, electric bikes are easy on pockets as well. First of all, buying an electric bike doesn’t cost you as much as purchasing a conventional scooter. Plus, conventional automobiles need gasoline as fuel that costs you too much. This way, e-bikes save you a considerable share of your regular income. So using an e-bike means you save big and saving is earning!Perks offered by the e-bikes· low running cost· low capital investment· low-cost maintenance· tax saving opportunity Furthermore, e-bikes can also save you a big amount on the annual tax you pay. They’re eligible for depreciation at 80% p.A. So, along with all the other benefits, you also hold for this extra opportunity to save on your tax.If you don’t believe, one of the e-bike manufacturers shows how economical e-bikes are with compared to the conventional scooters. Calculate it now!!!.",Everything,> 1 yr,10000-15000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
"Hero electric optima plus is amazing bike . From 1 year i am using it , its mileage, performance is great. It can't take so much fuel to run. It looks very nice. It can't take much service . One thing is bad that it runs in slow speed about 35-40 kmph. In local use it is best vehicle. I suggest people to must buy it.",Everything,> 1 yr,< 5000 kms,4,4,5,,3,,4,,4,Hero Electric Optima
"Buying experience is to good. I'm very excited about this bike. Everbody stares at me. Riding experience is worst. Build quality is too worst
Plastic body of this scooty got wreck in just one year. It take 12000/ year for changing the battery.no spare part available. These scooty is bad. I bought this at 35000. Now i want to sell these and no one is not ready to buy this from me. No resale value. Not reliable scooter. Poor and performance is not good. Seat is poor, breaks in 2-3 months.",Daily Commute,> 1 yr,10000-15000 kms,1,1,1,,1,,1,,1,Hero Electric Optima
This is the waste experience with the product and service only 10 km mileage with full charge after only 5 month this is waste product and services i have to be used never suggested to any of the other to purchase the product when i was purchase this product dealer say that this maintenance free bike but now it creates many problems every month need to be maintained any part of the bike i feel dissatisfied with the product and service.,Daily Commute,3-6 months,< 5000 kms,1,1,1,,1,,,,2,Hero Electric Optima
"Very attractive beautiful,eco green the hero electric cruz, although features a only a 250watt electric motor, comes with telescopic front forks and an advanced throttle mechanism that helps in quick acceleration. The cruz also features a large storage section and can travel 70km on a single charge. The cruz, owing to its small engine, need not be registered by the rto, nor does it require a licence.",Daily Commute,< 3 months,< 5000 kms,5,,,,5,,5,,5,Hero Electric Optima
"1. No, price is very reasonable.2. As a student riding experience is good enough.3. Yeah, you will get bored sometime while riding, as its speed 30km/hr avg.4. It have low cost maintenance, but if battery get bad you will need handsome amount of money to get it repair (10000rs approx.)5. Pros: run for 40 km in single charge. cons: very slow.",Daily Commute,> 1 yr,< 5000 kms,3,4,4,,5,,4,,4,Hero Electric Optima
,Daily Commute,> 1 yr,10000-15000 kms,2,3,3,,1,,3,,4,Hero Electric Optima
,Daily Commute,< 3 months,< 5000 kms,5,5,5,,5,,5,,5,Hero Electric Optima
,Daily Commute,3-6 months,< 5000 kms,4,4,3,,3,,4,,4,Hero Electric Optima
,Everything,< 3 months,< 5000 kms,4,5,,,,,4,,4,Hero Electric Optima
,Daily Commute,< 3 months,< 5000 kms,4,4,4,,3,,4,,4,Hero Electric Optima
,Daily Commute,6 months-1 yr,< 5000 kms,4,4,3,,3,,4,,4,Hero Electric Optima
"Buying experience is good, nice service.Riding very smooth and safety.I like the matte red colour, i give 5 star for all service but i give 4 star for mileage.Service are good. Affordable price , good looking.",Daily Commute,> 1 yr,< 5000 kms,4,5,4,,5,,4,,4,Hero Electric Optima
